,name,allegiance,season,episode,location,killer,killers_house,method,death_no
550,Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Unsullied Soldier,House Targaryen,Spear,551
551,Unsullied Soldier,House Targaryen,5,9,Meereen,Sons of the Harpy agent,Sons of the Harpy,Knife,552
552,Unsullied Soldier,House Targaryen,5,9,Meereen,Sons of the Harpy agent,Sons of the Harpy,Knife,553
553,Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Daario Naharis,House Targaryen,Arakh,554
554,Hizdahr zo Loraq,Wise Masters,5,9,Meereen,Sons of the Harpy agent,Sons of the Harpy,Knife,555
555,Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Daario Naharis,House Targaryen,Arakh,556
556,Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Jorah Mormont,House Targaryen,Knife,557
557,Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Tyrion Lannister,House Lannister,Knife,558
558,Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Unsullied Soldier,House Targaryen,Spear,559
559,Unsullied Soldier,House Targaryen,5,9,Meereen,Sons of the Harpy agent,Sons of the Harpy,Knife,560
560,Unsullied Soldier,House Targaryen,5,9,Meereen,Sons of the Harpy agent,Sons of the Harpy,Spear,561
561,Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Jorah Mormont,House Targaryen,Sword,562
562,Unsullied Soldier,House Targaryen,5,9,Meereen,Sons of the Harpy agent,Sons of the Harpy,Knife,563
563,Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Unsullied Soldier,House Targaryen,Spear,564
564,Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Jorah Mormont,House Targaryen,Sword,565
565,Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Unsullied Soldier,House Targaryen,Spear,566
566,Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Unsullied Soldier,House Targaryen,Spear,567
567,Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Jorah Mormont,House Targaryen,Sword,568
568,Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Daario Naharis,House Targaryen,Arakh,569
569,Unsullied Soldier,House Targaryen,5,9,Meereen,Sons of the Harpy agent,Sons of the Harpy,Knife,570
570,Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Daario Naharis,House Targaryen,Arakh,571
571,Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Daenerys Targaryen,House Targaryen,Claws (Dragon),572
572,Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Daenerys Targaryen,House Targaryen,Claws (Dragon),573
573,Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Daenerys Targaryen,House Targaryen,Teeth (Dragon),574
574,Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),575
575,Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),576
576,Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),577
577,Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),578
578,Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),579
579,Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),580
580,Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),581
581,Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),582
582,Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),583
583,Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),584
584,Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),585
585,Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),586
586,Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),587
587,Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),588
588,Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Daenerys Targaryen,House Targaryen,Teeth (Dragon),589
589,Unsullied Soldier,House Targaryen,5,9,Meereen,Sons of the Harpy agent,Sons of the Harpy,Sword,590
590,Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Jorah Mormont,House Targaryen,Sword,591
591,Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Daario Naharis,House Targaryen,Arakh,592
592,Sons of the Harpy agent,Sons of the Harpy,5,9,Meereen,Daario Naharis,House Targaryen,Sword,593
593,Selyse Florent,House Baratheon of Dragonstone,5,10,Kingsroad,Selyse Florent,House Baratheon of Dragonstone,Rope,594
594,Stannis Baratheon,House Baratheon of Dragonstone,5,10,Winterfell,Brienne of Tarth,House Tarth,Sword,595
595,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,5,10,Winterfell,Ramsay Bolton,House Bolton,Sword,596
596,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,5,10,Winterfell,Ramsay Bolton,House Bolton,Sword,597
597,Myranda Royce,House Bolton,5,10,Winterfell,Reek,House Bolton,Falling,598
598,Meryn Trant,House Lannister,5,10,Braavos,Arya Stark,House Stark,Knife,599
599,Jaqen H'ghar,Faceless Men,5,10,Braavos,Jaqen H'ghar,Faceless Men,Poison,600
600,Myrcella,House Lannister,5,10,Dorne,Ellaria Sand,House Martell,Poison,601
601,Jon Snow,Night's Watch,5,10,Castle Black,Olly,Night's Watch,Knife,602
